author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
1261510548765790208,2021-09-04 00:31:09+00:00,1433950726158495750,en,26,1,9,9,"Am I doing it right!?
🔄 if submissive 💙 if breedable 💬 if you want to teach me YOGA https://t.co/YXBZuNQofC"
17601606,2021-08-31 14:45:25+00:00,1432716157627387910,en,46,5,1,4,"If your inbox reads like this, you are not alone:

I'll cut straight to the chase: our August fundraising deadline is tomorrow at midnight, and I need your help. 

The clock is ticking, and the stakes couldn't be higher!"
403745192,2020-08-31 18:18:58+00:00,1300498328367570945,en,1,1,1,0,There are a lot of Steelers fans that want Fournette to come to Pittsburgh..... https://t.co/oIrn2dGuFd
27741349,2021-08-27 12:30:00+00:00,1431232527478321155,en,7,1,2,2,"Israel’s Chief Rabbinate has written a letter to Pope Francis conveying its “distress” at comments made by Francis that suggest Jewish law is obsolete.

https://t.co/S8ZoOD4pSQ"
17910499,2021-08-24 20:23:40+00:00,1430264566013911051,en,428767,5635,1604,47739,"Today the vet told me that since Covid, they’ve had to treat a number of cats with depression caused by irritation that their people are at home all day. Obviously it’s not really funny but… that’s the most Cat thing I’ve ever heard. Apparently dogs do not have the same problem."
14361975,2021-08-23 17:10:13+00:00,1429853494597480448,en,15,1,4,0,"@bcantrill Bryan, 

I absolutely love your talks and recommend them to everyone. You have the worst slides 🤣

Maybe think about using a template

But if it impacts your speaking style or talk in any way just say no and do your thing"
3113701435,2021-08-22 22:18:41+00:00,1429568737833885700,en,10,1,2,0,wasted a SNKRS draw W on my baby momma smh. lmk if you trynna cop a 7.5W https://t.co/25TnVDcvtE
15273757,2021-08-12 01:49:09+00:00,1425635434688811016,en,1,1,1,0,update and sneak peek: https://t.co/l3Qzt9WriQ https://t.co/0Xij05YflP
288277167,2021-08-12 01:10:21+00:00,1425625672840589313,en,9682,627,2395,1679,"Jim Jordan says ""I don't want to hear anything about Covid cases in Florida"" until the Biden administration does something about the border. 

I'm sure hospitalized Covid patients in Florida appreciate the sentiment. https://t.co/nldubEtUKQ"
877295571266097153,2021-08-11 22:29:50+00:00,1425585277364494340,en,2,1,0,0,@BlulesNsfw getting surgery to reconstruct your nose ;w;
302693147,2021-08-06 18:03:12+00:00,1423706234935459842,en,0,1,1,0,This isn't cute this is sad https://t.co/AV0UZT6dCs
1224716397776818176,2021-08-05 08:09:47+00:00,1423194509584715784,en,1,1,1,0,i get if ur hurt but this kinda shit is kinda :/ https://t.co/tl3f0kKtUK
2651595000,2021-07-30 17:25:20+00:00,1421159990035845125,en,13,1,0,0,@ravenscimaven I enjoy that you are tweeting at people you blocked so they can't see it. 🤣🤣🤣
964307489704546309,2021-07-30 17:22:30+00:00,1421159278015094784,en,768,3,32,8,I am so used to blocking people that I accidentally started blocking people that don't like LeVar Burton as host on Jeopardy 😂😂 if you're one of those people I'm very sorry it wasn't on purpose 😂😂😂 blocking is like a reflex now
1035461995481518080,2021-07-01 03:39:37+00:00,1410442946101530625,en,37,1,0,13,the fishes are walking and taking gym classes https://t.co/utu0zm6QNQ
1385458495034589185,2021-06-16 16:14:29+00:00,1405197093749223427,en,9,7,12,0,what if i milk claude dry for hours until piss comes out of his dick and ill put it in the freezer to save it for later when i get thirsty
847101339448467460,2021-07-29 20:58:49+00:00,1420851328876572676,en,0,0,3,0,@claudeapologist @claudeslut @athysgf @thecosmicsalt NOT YOU SAYING V*A IS VALID /J
2841643337,2021-07-29 18:11:32+00:00,1420809230043463687,en,0,1,0,0,@MelvinTheMopBoi @Masiosaurio @Bondage_Peach @Big_Chillin_Tho @Nitzky89 @PunchdrunkProg Why are you sorry?
613649581,2021-07-26 22:34:34+00:00,1419788261640359938,en,19,1,1,0,"@AdviserCounsel He and I don't always see eye-to-eye, but that doesn't mean that there aren't issues--including, but not limited to, running, hiking, and being on Twitter--on which we agree."
833551231071105025,2021-07-27 21:20:00+00:00,1420131882725937155,en,10,2,1,0,"Jeff, you made Annie cry."
44196397,2021-07-24 11:17:54+00:00,1418893195220561923,zxx,508117,4991,16461,51523,https://t.co/9tlumHnOcL
